,0,1,2,3,4
716,716,A1,A4,A3,C2
717,717,A1,A4,A3,C3
718,718,A1,A4,A3,C4
719,719,A1,A4,A3,TZ
720,720,A1,A4,A4,A1
721,721,A1,A4,A4,A2
722,722,A1,A4,A4,A3
723,723,A1,A4,A4,A4
724,724,A1,A4,A4,TX
725,725,A1,A4,A4,B1
726,726,A1,A4,A4,B2
727,727,A1,A4,A4,B3
728,728,A1,A4,A4,B4
729,729,A1,A4,A4,TY
730,730,A1,A4,A4,C1
731,731,A1,A4,A4,C2
732,732,A1,A4,A4,C3
733,733,A1,A4,A4,C4
734,734,A1,A4,A4,TZ
735,735,A1,A4,TX,A1
736,736,A1,A4,TX,A2
737,737,A1,A4,TX,A3
738,738,A1,A4,TX,A4
739,739,A1,A4,TX,TX
740,740,A1,A4,TX,B1
741,741,A1,A4,TX,B2
742,742,A1,A4,TX,B3
743,743,A1,A4,TX,B4
744,744,A1,A4,TX,TY
745,745,A1,A4,TX,C1
746,746,A1,A4,TX,C2
747,747,A1,A4,TX,C3
748,748,A1,A4,TX,C4
749,749,A1,A4,TX,TZ
750,750,A1,A4,B1,A1
751,751,A1,A4,B1,A2
752,752,A1,A4,B1,A3
753,753,A1,A4,B1,A4
754,754,A1,A4,B1,TX
755,755,A1,A4,B1,B1
756,756,A1,A4,B1,B2
757,757,A1,A4,B1,B3
758,758,A1,A4,B1,B4
759,759,A1,A4,B1,TY
760,760,A1,A4,B1,C1
761,761,A1,A4,B1,C2
762,762,A1,A4,B1,C3
763,763,A1,A4,B1,C4
764,764,A1,A4,B1,TZ
765,765,A1,A4,B2,A1
766,766,A1,A4,B2,A2
767,767,A1,A4,B2,A3
768,768,A1,A4,B2,A4
769,769,A1,A4,B2,TX
770,770,A1,A4,B2,B1
771,771,A1,A4,B2,B2
772,772,A1,A4,B2,B3
773,773,A1,A4,B2,B4
774,774,A1,A4,B2,TY
775,775,A1,A4,B2,C1
776,776,A1,A4,B2,C2
777,777,A1,A4,B2,C3
778,778,A1,A4,B2,C4
779,779,A1,A4,B2,TZ
780,780,A1,A4,B3,A1
781,781,A1,A4,B3,A2
782,782,A1,A4,B3,A3
783,783,A1,A4,B3,A4
784,784,A1,A4,B3,TX
785,785,A1,A4,B3,B1
786,786,A1,A4,B3,B2
787,787,A1,A4,B3,B3
788,788,A1,A4,B3,B4
789,789,A1,A4,B3,TY
790,790,A1,A4,B3,C1
791,791,A1,A4,B3,C2
792,792,A1,A4,B3,C3
793,793,A1,A4,B3,C4
794,794,A1,A4,B3,TZ
795,795,A1,A4,B4,A1
796,796,A1,A4,B4,A2
797,797,A1,A4,B4,A3
798,798,A1,A4,B4,A4
799,799,A1,A4,B4,TX
800,800,A1,A4,B4,B1
801,801,A1,A4,B4,B2
802,802,A1,A4,B4,B3
803,803,A1,A4,B4,B4
804,804,A1,A4,B4,TY
805,805,A1,A4,B4,C1
806,806,A1,A4,B4,C2
807,807,A1,A4,B4,C3
808,808,A1,A4,B4,C4
809,809,A1,A4,B4,TZ
810,810,A1,A4,TY,A1
811,811,A1,A4,TY,A2
812,812,A1,A4,TY,A3
813,813,A1,A4,TY,A4
814,814,A1,A4,TY,TX
815,815,A1,A4,TY,B1
816,816,A1,A4,TY,B2
817,817,A1,A4,TY,B3
818,818,A1,A4,TY,B4
819,819,A1,A4,TY,TY
820,820,A1,A4,TY,C1
821,821,A1,A4,TY,C2
822,822,A1,A4,TY,C3
823,823,A1,A4,TY,C4
824,824,A1,A4,TY,TZ
825,825,A1,A4,C1,A1
826,826,A1,A4,C1,A2
827,827,A1,A4,C1,A3
828,828,A1,A4,C1,A4
829,829,A1,A4,C1,TX
830,830,A1,A4,C1,B1
831,831,A1,A4,C1,B2
832,832,A1,A4,C1,B3
833,833,A1,A4,C1,B4
834,834,A1,A4,C1,TY
835,835,A1,A4,C1,C1
836,836,A1,A4,C1,C2
837,837,A1,A4,C1,C3
838,838,A1,A4,C1,C4
839,839,A1,A4,C1,TZ
840,840,A1,A4,C2,A1
841,841,A1,A4,C2,A2
842,842,A1,A4,C2,A3
843,843,A1,A4,C2,A4
844,844,A1,A4,C2,TX
845,845,A1,A4,C2,B1
846,846,A1,A4,C2,B2
847,847,A1,A4,C2,B3
848,848,A1,A4,C2,B4
849,849,A1,A4,C2,TY
850,850,A1,A4,C2,C1
851,851,A1,A4,C2,C2
852,852,A1,A4,C2,C3
853,853,A1,A4,C2,C4
854,854,A1,A4,C2,TZ
855,855,A1,A4,C3,A1
856,856,A1,A4,C3,A2
857,857,A1,A4,C3,A3
858,858,A1,A4,C3,A4
859,859,A1,A4,C3,TX
860,860,A1,A4,C3,B1
861,861,A1,A4,C3,B2
862,862,A1,A4,C3,B3
863,863,A1,A4,C3,B4
864,864,A1,A4,C3,TY
